pilot,team,avg_time,consistency_race,final_position,corner_speed,braking,acceleration,consistency_profile,tire_management,risk_factor,experience
Pecco Bagnaia,Ducati,66.33304446335558,0.4201380113622637,1,0.95,0.94,0.92,0.93,0.95,0.85,0.9
Jorge Martin,Pramac Ducati,66.90989691312993,0.5385364455711713,3,0.94,0.93,0.95,0.88,0.9,0.9,0.85
Marc Marquez,Gresini Ducati,67.15822361755453,0.3218552710398847,4,0.98,0.96,0.94,0.85,0.88,0.95,0.98
Enea Bastianini,Ducati,66.68925447763411,0.3450222844162163,2,0.92,0.91,0.93,0.9,0.92,0.88,0.87
Fabio Quartararo,Yamaha,70.89389288782107,0.39915888111999315,9,0.93,0.92,0.89,0.94,0.93,0.82,0.92
Brad Binder,KTM,70.9658939517266,0.48388417137876827,11,0.9,0.93,0.91,0.89,0.87,0.92,0.88
Pedro Acosta,KTM,70.98018190110346,0.3794612054751666,12,0.91,0.89,0.92,0.86,0.85,0.94,0.75
Maverick Vinales,Aprilia,70.21852235649678,0.24028432227962873,6,0.91,0.9,0.9,0.87,0.89,0.86,0.9
Franco Morbidelli,Pramac Ducati,69.19792838010304,0.3865719732108352,5,0.89,0.88,0.87,0.91,0.9,0.8,0.89
Marco Bezzecchi,VR46 Ducati,70.58325011901584,0.43793978790163923,8,0.88,0.87,0.89,0.85,0.86,0.87,0.82
Alex Marquez,Gresini Ducati,70.4738213877973,0.31210512231779597,7,0.87,0.86,0.88,0.88,0.87,0.83,0.85
Aleix Espargaro,Aprilia,70.94435064587591,0.3828983767834675,10,0.89,0.9,0.86,0.92,0.91,0.81,0.94
Jack Miller,KTM,72.40898853046023,0.37628475275180356,14,0.86,0.87,0.88,0.84,0.85,0.89,0.87
Fabio Di Giannantonio,VR46 Ducati,71.71263711661389,0.44074631026514943,13,0.85,0.84,0.86,0.83,0.84,0.86,0.8
Raul Fernandez,Trackhouse Aprilia,73.78766804475715,0.43473994806734634,15,0.84,0.83,0.85,0.82,0.83,0.85,0.78
Augusto Fernandez,KTM,73.91989406151325,0.3279300917020983,16,0.83,0.82,0.84,0.85,0.84,0.82,0.79
Luca Marini,Honda,76.57517243059645,0.3406635439617593,19,0.82,0.83,0.83,0.86,0.85,0.81,0.83
Joan Mir,Honda,75.99396912903407,0.35964717072539276,18,0.85,0.86,0.82,0.89,0.88,0.79,0.88
Takaaki Nakagami,Honda,77.29798000164388,0.4784691603304241,20,0.81,0.82,0.81,0.84,0.83,0.84,0.86
Lorenzo Savadori,Aprilia,74.26871339272004,0.4547432459595547,17,0.8,0.81,0.82,0.83,0.82,0.87,0.82
